date,city,state,killed,injured,type,description,source_link,notes
1997-02,Falls Church,Virginia,,,ARSON,"A Falls Church abortion clinic was set on fire causing an estimated $25,000 in damages. James Mitchell sentenced to 10 years.",http://www.feminist.org/rrights/pdf/aw0400.pdf,
1997-04-02,Livingston,Montana,,,ARSON,The roof of the Medical Arts Center where a doctor who performed abortions worked was set on fire. An anti-abortion activist was arrested.,http://www.bozemandailychronicle.com/abortion-foe-tries-to-set-abortion-doctor-s-office-on/article_4ddb9c9d-81b3-5b01-97ae-61458dd95b53.html,
1997-05,Portland,Oregon,,,ARSON,"An arson occurred at All Women's Health Services. Damages were estimated to be $5,000.",http://www.feminist.org/rrights/pdf/aw0400.pdf,
1997-08,Tuscaloosa,Alabama,,,ARSON,"West Alabama Women's Center sustained $250,000 in damages, after a firebombing gutted the interior of the building",http://www.feminist.org/rrights/pdf/aw0400.pdf,
1997-10,Portland,Oregon,,,ARSON,"Lovejoy Surgicenter was set on fire and suffered $250,000 in damage, after receiving several bomb threats from 5/17-19.",http://www.feminist.org/rrights/pdf/aw0400.pdf,
1998-03,Riverside,California,,,ARSON,Planned Parenthood of San Diego and Riverside Counties was firebombed. A white RV was spotted leaving the scene,http://www.feminist.org/rrights/pdf/aw0400.pdf,
1998-09,Fayetteville,North Carolina,,,ARSON,An accelerant had been spread on the back door of the Carolina Women's Clinic and fire was set to the building.,http://www.nytimes.com/1998/09/09/us/national-news-briefs-2-abortion-clinics-burned-in-north-carolina.html,
1998-09,Fayetteville,North Carolina,,,ARSON,"Fire broke out at the Hallmark Clinic, damaging the roof and ceiling of the building, and resulting in smoke and water damage inside.",http://www.feminist.org/rrights/pdf/aavw20.pdf,
1999-03,Milwaukee,Wisconsin,,,ARSON,Summit Women's Health Organization's rear door was set on fire on two separate occasions.,http://www.feminist.org/rrights/pdf/aavw20.pdf,
1999-03,Sioux Falls,South Dakota,,,ARSON,Planned Parenthood of MN/SD was the target of an arson attack.,http://www.feminist.org/rrights/pdf/aavw20.pdf,
1999-04,Waukesha,Wisconsin,,,ARSON,A fireplace log soaked with lighter fluid was lit on a window of the Planned Parenthood.,http://www.feminist.org/rrights/pdf/aavw20.pdf,
1999-05,Albuquerque,New Mexico,,,ARSON,"Fire was set to an abortion clinic by Ricky Lee McDonald, who had just been released from prison for another attack years before.",http://abqjournal.com/news/metro/277885metro12-23-04.htm,
1999-07,Sacramento,California,,,ARSON,Benjamin Matthew Williams and James Tyler Williams set fire to several synagogues and an abortion clinic.,http://articles.latimes.com/2001/dec/01/local/me-10285,
1999-08,Greenland,New Hampshire,,,ARSON,"Feminist Health Center of Portsmouth, New Hampshire suffered fire and water damage in a suspected arson.",http://www.feminist.org/news/newsbyte/uswirestory.asp?id=561,
2000-04,Oakland Park,Florida,,,ARSON,A container filled with an accelerant was thrown through the front door of Ft. Lauderdale Women's Clinic.,http://www.feminist.org/rrights/pdf/aavw35.pdf,
2000-05,Concord,New Hampshire,,,ARSON,"A fire was set to an abortion clinic in Concord, NH",http://amarillo.com/stories/2000/05/30/usn_LA0561.shtml#.Vl4R29-rSfU,
2001-01,Kalamazoo,Michigan,,,ARSON,The front door of the Planned Parenthood of South Central Michigan was smashed and fuel was spread throughout the lobby.,http://www.feminist.org/rrights/pdf/aavw35.pdf,
2003-05,Tamarac,Florida,,,ARSON,"A flammable liquid was poured on the door and through the mail slot, and a fire was set.",http://articles.orlandosentinel.com/2003-05-31/news/0305310302_1_abortion-calzadilla-tamarac,
2003-09,Indianapolis,Indiana,,,ARSON,"An unknown perpetrator ignited a fire inside the Planned Parenthood. There were no casualties, but the clinic sustained $2,000 in damages.",http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200309060004,
2004-07-02,Lake Worth,Florida,,,ARSON,"The WomanCare Center burned down from what police believed to be a firebomb attack. No one was hurt, but the building was destroyed.",http://articles.sun-sentinel.com/2004-07-09/news/0407090174_1_abortion-clinic-tammy-sobieski-national-abortion-federation,
2005-01,Olympia,Washington,,,ARSON,"The fire started on the roof and destroyed much of the building's interior, but spared patient records.",http://womensenews.org/story/business/060321/scathed-abortion-clinics-study-insurance-options,
2005-07-04,West Palm Beach,Florida,,,ARSON,A suspicious fire damaged an abortion clinic where protesters have staged weekly demonstrations for more than a decade.,http://staugustine.com/stories/070605/sta_3187489.shtml#.Vly898qq8sN,
2007-05,Virginia Beach,Virginia,,,ARSON,An unidentified person deliberately set fire to a Planned Parenthood clinic.,https://en.wikipedia.org/wiki/Anti-abortion_violence#United_States,
2007-12-05,Albuquerque,New Mexico,,,ARSON,"Angry at his ex-girlfriend for planning to have an abortion, a man and his friend proceeded to set fire to the clinic.",http://www.justice.gov/archive/usao/nm/press-releases/2009/2009-01-07-baca_sergio_plea_agmt.pdf,
2010-09-02,Madera,California,,,ARSON,"Donny Eugene Mower committed arson at the Madera Planned Parenthood clinic, causing more than $26,000 in damage.",http://www.justice.gov/opa/pr/man-sentenced-connection-arson-planned-parenthood-and-vandalism-mosque-madera-california,
2011-07-26,McKinney,Texas,,,ARSON,"The Planned Parenthood clinic, which does not provide abortions, experienced an arson attack. There were no injuries.",http://www.huffingtonpost.com/2011/07/28/texas-planned-parenthood-_n_912710.html,
2012-01,Pensacola,Florida,,,ARSON,Bobby Joe Rogers was sentenced to 10 years for arson and damaging a reproductive health facility.,http://usatoday30.usatoday.com/news/nation/story/2012-01-05/abortion-fire-arrest/52398540/1,
2012-01-01,Ferry Pass,Florida,,,ARSON,A homeless man was sentenced to 10 years in federal prison Thursday for an arson attack against American Family Planning clinic.,http://www.huffingtonpost.com/2012/10/04/bobby-joe-rogers-10-year-sentence-firebombing-abortion-clinic_n_1940670.html,
2012-04-01,Grand Chute,Wisconsin,,,ARSON,A man convicted of starting a fire at a Planned Parenthood building in Grand Chute was sentenced to 11 years in prison.,http://www.nbc15.com/news/state/headlines/Trial_Set_For_Man_Accused_In_Wisconsin_Clinic_Fire_160815705.html,
2012-05,Gwinnett,Georgia,,,ARSON,Atlanta-area clinics specializing in women’s health services have witnessed three burglaries and now two fires. ,http://www.rawstory.com/2012/05/fbi-steps-in-as-attacks-on-georgia-womens-clinics-escalate/,
2012-05,Marietta,Georgia,,,ARSON,Atlanta-area clinics specializing in women’s health services have witnessed three burglaries and now two fires. ,http://www.rawstory.com/2012/05/fbi-steps-in-as-attacks-on-georgia-womens-clinics-escalate/,
